Command Types,Data,Trigger Type (If Trigger)
BIAS,0,
DELAY,1,
BIAS,-250,
DELAY,1,
BIAS,-200,
DELAY,1,
BIAS,-150,
DELAY,1,
BIAS,-100,
DELAY,1,
BIAS,-50,
DELAY,1,
BIAS,0,
DELAY,1,
BIAS,50,
DELAY,1,
BIAS,100,
DELAY,1,
BIAS,150,
DELAY,1,
BIAS,200,
DELAY,1,
BIAS,250,
DELAY,1,
BIAS,0,
